monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
RM 700 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Parking, Security, Lift, Playground, Barbeque area, Multipurpose hall, Jogging Track",,,"RENT/SEWA<br><br>Apartment D'kayangan di Ecohill Semenyih<br><br>Level 16<br><br>PROPERTY DETAILS:<br>=================<br>* Built-up : 800 sq feet<br>* 3 bedrooms & 2 bathrooms<br>* FREEHOLD<br>* Non-Bumi Lot<br>* Installed withLighting<br>*1 car parks<br>*24 hours Security<br>Basic unit sink<br>Fully grill <br>Lampu dan kipas<br>Lantai simen<br><br>FACILITIES:<br>=========<br>* 24-hours Security with CCTV<br>* Smart card access<br>* Badminton court<br>* Surau<br><br>Amenities :<br>=======<br>- Schools / Nottingham University<br>- MCD / KFC / Starbuck<br>- Petrol stations & Bank<br>- Setia Ecohill Express Link to LEKAS Highway<br>- Lotus (Tesco), Econsave, Segi, 99 Speed Mart, 7-Eleven, etc.<br>- ECOHILL Taipan (Shoplots)<br>- Setia EcoHill Walk (Shopping Mall)<br><br>Please contact call/wassap:<br>SKY 0106652579",Selangor,Semenyih,2025-02-24 10:59,2025-02-24,110179055,,
RM 850 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Minimart, Jogging Track, Playground, Barbeque area, Parking, Security",,"Persiaran Botanik, Bandar Botanic, Klang, Selangor","Pangsapuri Akasia, Bandar Botanic, Klang For Rent or Sale<br><br>Features:<br>Mid floor (walk up apartment)<br>Built up 750sqft<br>3 rooms 2 bathrooms<br>Basic unit<br>Kitchen Table Top<br>1 unit covered car park<br>Gated Guarded<br><br>Rental: RM850<br>Available Now<br><br>Please call MK Lee OI3-3B8 8389 (REN 68706) for more information<br>more choices available. kindly contact me, TQ<br>owner are welcome to list.",Selangor,Klang,2025-02-24 10:58,2025-02-24,110095639,2.988147026397493,101.44714926424855
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1390 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Off Persiaran Bestari, Cyberjaya, Selangor","Best Rent 🎯 at Lakefront Residence Near Mutiara Ville, Cyberjaya!🌟🌟🌟<br>**************************************************************************<br>🌟 Your Dream Home Awaits at Lakefront Residence, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 2 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Fully furnished unit with stylish decor<br>• 1390sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 550 meters<br>    •🌳 Cyberjaya Lake Gardens – 300 meters<br>    •🛍 Tamarind Square – 1 km<br>    •🚑 Cyberjaya Hospital-500 meters<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🎭 Multi-purpose Hall<br>• 📚 Study Rooms | 🕌 Surau | 🌿 Sky Garden<br>• 🧸 Kids Play Area<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-24 10:57,2025-02-24,110138002,,
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,3,2,860 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium","Cooking Allowed, Washing Machine, Air-Cond",,"Condo Ready for move in Bandar teknologi Kajang semenyih bangi<br><br>Cabinet, Washing Machine, Peti Ais, Wardrobe, Katil<br>__________________________________________________<br>Welcome to viewing<br>Contact 019 668 1293 Kimmy ( Call / Whatapp )<br>__________________________________________________<br>Basic : Rm  900 - Rm 1000<br>Kitchen Cabinet : Rm 1000 - Rm 1300<br>Fully Furnished : Rm 1300 - Rm 1800<br><br>Nice Place , Relaxing Place, Private Place<br>- 2 side by side car park<br>- Grill ,Fan , Lighting<br><br>3 Security system<br>- Private floor access lift system<br>- Smart card access to lobby area<br>- Gated,smart access card<br>- 24 hours guarded<br><br>Nearby Highway<br>- North South highway (PLUS)<br>within 5 km to Kajang exit<br>- Cheras Kajang Highway (SAGA) within 3 km<br>- Kajang Silk Highway (SILK) within 2 km<br>- Kajang Seremban Highway (LEKAS) within 5 km<br>- Sungai besi Highway (BESRAYA) within 10 km<br><br>Shopping & Market<br>- Speed 99 , 2.8km (6 min)<br>- Econsave , 5.5km (9 min)<br>- My Din , 3.1km (7 min)<br>- Billion , 3.3km (8 min)<br>- IOI City Mall , 15.2 km (18 min)<br>- 7-Eleven , 2.9km (7 min)<br>- Kajang Town , 7.8km (15 min)<br>- McDonald Jalan Reko ，6km（10min）<br>- McDonald Bandar Baru Bangi , 7.8km (12 min)<br>- Pasar Malam , Pasar Pagi<br><br>Education<br>- New Era College<br>- UKM Bangi<br>- SMK Kajang Utama, 4.6km(8min)<br>- Sekolah Kebangsaan Kajang Utama ,4.8km (9min)<br>- Rafflesia International School<br><br>Transport<br>- Kajang MRT Station<br>- Bus Station Hentian Kajang<br>- Hospital<br>- J&T , Poslaju<br>- KWSP<br>- Balai Polis<br><br>Kimmy Call/Whatapp<br>019-668 1293<br>0196681 293<br>019-6681293",Selangor,Kajang,2025-02-24 10:56,2025-02-24,109991186,,
"RM 1,450 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,"Cooking Allowed, Air-Cond",,"Bandar Tasik Puteri, Rawang, M Residence 1 Endlot landed house for rent RM 1450.00. Please whatapps 011 7237 8688 Evelyn for more info. <br><br>Property details <br>- 2 Storey<br>- End lot <br>- 18x70<br>- 4 Bedroom<br>- 3 Bathroom<br>- ⁠Fan , Light <br>- ⁠2 x Air cond<br>- Water heater <br>- Kitchen with stove and range hood<br>- Gated & Guard<br>- ⁠Key on hand 🔑<br><br>Rental RM 1450 nett",Selangor,Rawang,2025-02-24 10:50,2025-02-24,110249400,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1130 sq.ft.,Not Furnished,,,"Seksyen 16, Shah Alam, Selangor","For Rent Ken Rimba Condominium 1, Seksyen 16 Shah Alam  <br><br>Rental : RM1500 (Move in selepas 15 March 2025)<br><br>Details:<br>Freehold<br>Basic Unit (Lights & Fans only)<br>Build Up: 1130 sqft<br>3 Bedrooms<br>2 Bathrooms<br>2 Carpark<br>Strata Title<br>Block C Level 2<br>Balcony facing carpark<br>Tenanted until Mac 2025<br>Guard & Guarded area<br><br>Facilities:<br>Gym<br>Swimming pool<br>Dobi layan diri<br>Surau<br>Playground <br>Badminton court<br>Near many shoplot area<br><br>Interested, can contact me:<br><br>0192960343<br>Rafedah Aziz<br>REN33089<br>Iqi Realty",Selangor,Shah Alam,2025-02-24 10:50,2025-02-24,110249262,3.0587106,101.4953899
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,3,2,890 sq.ft.,Fully Furnished,"Playground, Jogging Track, Barbeque area, Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT","Off Lebuhraya Utara Selatan, Southville City, Bangi, Selangor","FOR RENT🔥<br><br>FULLY FURNISHED CONDOMINIUM, CERRADO SOUTHVILLE BANGI SELANGOR<br><br>Rental Price: RM2300/month(nego)<br><br>PROPERTY DETAILS:<br>✅Deposit 2+1+utilities+TA=RM8300<br>✅3 Bedrooms<br>✅2 Bathrooms<br>✅2 Parking Lot<br>✅Wifi <br>✅ Furnished included:<br>Aircond at Master bedroom and two rooms ,Water Heater,Airdryer,Microwave,<br>Pressure Cooker,Induction cooker,Freezer,smart tv 55 inch,mini home teater,washing machine,king bed,queen bedroom set ,sofa & kitchen cabinet<br><br>Facilities :<br>✅24 Hours Security<br>✅Gym<br>✅Spa & Bathroom<br>✅Playground<br>✅Basketball & Badminton Court<br>✅BBQ Area<br><br>Accessibility :<br>✅PLUS UTARA SELATAN<br>✅MEX HIGHWAY<br>✅LEKAS<br>✅ELITE<br><br>Interested please call/whatapps:<br>Diana Hasan<br>019-6465510<br>Maxxan Realty",Selangor,Bangi,2025-02-24 10:49,2025-02-24,110249375,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1500 sq.ft.,Fully Furnished,"Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",,Bandar Bukit Puchong 2 @ Jalan BP 14<br><br>Available on January 2025<br><br>Double storey<br>20x75<br>Freehold<br>4room 3bath<br>Facing open area more parking <br>Fully furnish<br>Kitchen extend with kitchen cabinet<br>Wardrobe<br><br>Payment details<br>1 month advance 2300<br>2 month deposit 4600<br>1 month utility deposit 2300<br><br><br>Contact Sk Chong 012-2828 271[ REN 07079 ] For viewing arrangement and Details,Selangor,Puchong,2025-02-24 10:47,2025-02-24,108754731,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1250 sq.ft.,Fully Furnished,"Playground, Parking, Security, Minimart, Gymnasium, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan PJU 8/1, Damansara Perdana, Selangor","WANT TO LET<br><br>Metropolitan SQ @ Damansara Perdana<br><br>Property Detail:-<br>- 1,250sf<br>- 3 Bedroom<br>- 2 Bathroom<br>- Furnished<br>- 2 Car Park <br>- High Floor<br><br>Asking Rental RM2,500 per month",Selangor,Damansara Perdana,2025-02-24 10:46,2025-02-24,109857530,3.166416424317879,101.60760605129686
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,776 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed","Jalan Dataran Cheras 6, Cheras, Selangor",Traders garden 3rooms unit for rent<br><br>- 776 sqft<br>- 3 bedrooms<br>- 2 bathrooms<br>- 2 carparks<br>- partially furnished<br><br>For viewing pls call / WhatsApp<br>Kevin Ong 013 9080 109,Selangor,Cheras,2025-02-24 10:46,2025-02-24,110144951,3.035745431986549,101.76492298612567
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,3,1200 sq.ft.,Partially Furnished,,,,"Rawang, Kundang, Gamuda Gardens, Taman scientex Kundang 2 storey house for rent RM 1200. Please call 011 72378688 Evelyn Khoo for viewing now. <br><br>Property Details :<br>- 2 Storey<br>- 18x65<br>- 4 Bedroom<br>- 3 Bathroom<br>- ⁠Fan , Light<br>- Grill, curtain, fan and light.<br>- Gated & Guard<br>- All race with good profile <br><br>Rental - RM1200<br><br>Deposit :<br>1 month advance<br>2 months security deposit<br>0.5 month utility<br>1 year agreement fee",Selangor,Kundang,2025-02-24 10:45,2025-02-24,110249329,,
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,,,"Jalan Bumi U5/137, Shah Alam, Selangor","Pangsa Seri Murni U5 Subang Galaxi Untuk Di Sewakan<br>:<br>Sewa RM 750<br>Kemasukan segera <br>:<br>Tingkat 3 (x ada lift)<br>3 Bilik Tidur<br>2 Bilik Air<br>Area persiaran subang galaxi<br>:<br>Rumah selamat bergrill<br>Table top<br>Rumah kemas dan luas<br>Persekitaran blok dijaga bersih<br>:<br>KEMUDAHAN & BERDEKATAN :--<br>> Deretan Gerai dan Kedai<br>> 99 Speedmart<br>> Restoran Makanan<br>> Big Wholesale Supermarket <br>> Dobi, Taska, Playground, Parking<br>> SK & SMK<br>> HELP University<br>:<br>15 minit ke Paya Jaras<br>15 minit ke Sg Buloh<br>10 minit ke Star Avenue<br>20 minit ke Subang Skypark Airport<br>30 minit ke Kota Damansara<br>30 minit Stesen MRT Kwasa Sentral<br>:<br>:<br>Berminat hubungi Zain<br>Call : 012-2328501<br>Whatsapp : wasap.my/60122328501/serimurni",Selangor,Shah Alam,2025-02-24 10:39,2025-02-24,110013587,3.1698584950101014,101.53490051680434
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor","Best Rent 🪙 at Cyberia Smarthomes Near The Arc, Cyberjaya!🌟🌟🌟<br><br>🌟 Your Ideal Living Space Awaits at Cyberia Smarthomes Near The Arc, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 1 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Partially furnished unit with stylish decor<br>• 1200sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 950 meters<br>    •🌳 Cyberjaya Lake Gardens – 800 meters<br>    •🛍 Tamarind Square – 1 km<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-24 10:36,2025-02-24,109952209,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor","Best Rent 🪙 at Cyberia Smarthomes Near The Arc, Cyberjaya!🌟🌟🌟<br><br>🌟 Your Ideal Living Space Awaits at Cyberia Smarthomes Near The Arc, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 1 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Partially furnished unit with stylish decor<br>• 1200sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 950 meters<br>    •🌳 Cyberjaya Lake Gardens – 800 meters<br>    •🛍 Tamarind Square – 1 km<br>    •🚑 Cyberjaya Hospital-1 km<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-24 10:36,2025-02-24,109678529,,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,950 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Sepang Off Persiaran Multimedia, Cyberjaya, Selangor","Best Rent 🪙 at Mutiara Ville Near Lakefront, Cyberjaya!🌟🌟🌟<br><br>🌟 Your Ideal Living Space Awaits at Mutiara Ville Near Lakefront, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 2 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Fully furnished unit with stylish decor<br>• 950sqft<br>• Walking distance to:<br>    •🚑 Cyberjaya Hospital-100 meters <br>    •🍔 McDonald's – 300 meters<br>    •🍗 KFC – 300 meters<br>    •🎓 University of   Cyberjaya – 900 meters<br>    • 📖 Multimedia University (MMU) – 950 meters<br>    •🌳 Cyberjaya Lake Gardens – 800 meters<br>    •🛍 Tamarind Square – 200 meters<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-24 10:36,2025-02-24,110098259,,
"RM 1,050 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Parking, Lift, Security, Playground",Cooking Allowed,"Persiaran Setia Makmur, Seksyen U13, Setia Alam, Selangor",with 2 parking lot<br><br>AMENITIES :-<br>* Sek Kebangsaan & Menengah Setia Alam (10 min)<br>* Tenby Schools Setia Eco Park (10 min)<br>* Setia City Mall (5 min)<br>* Lotus Setia Alam (10 min)<br>* NSK Setia Alam (10 min)<br>* Setia Alam Convention Centre (5 min)<br>* Masjid Setia Alam (10 min)<br>* Klang Sentral Bus & Taxi Terminal (10 min)<br>* National Institute Of Health (8 min)<br>* Shoplot Setia Taipan 1 & 2 (2 min)<br><br>ACCESSIBILITY :-<br>* NKVE Highway<br>* Shapadu Highway<br>* Federal Highway<br>* GCE Highway<br>* Latar Highway<br><br>mr wong 0192184680,Selangor,Setia Alam,2025-02-24 10:36,2025-02-24,110050552,3.1343061517810127,101.47590465794737
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Off Persiaran Bestari , Cyber 11, Cyberjaya, Selangor","Best Rent 🎯 at Edusphere Suites Near The Arc, Cyberjaya!🌟🌟🌟<br>****************************************************************<br>🌟 Your Dream Home Awaits at Edusphere Suites, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 1 Bedrooms + 1 Bathrooms with studio layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 1 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Fully furnished unit with stylish decor<br>• 500sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 950 meters<br>    •🌳 Cyberjaya Lake Gardens – 800 meters<br>    •🛍 Tamarind Square – 1 km<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🎭 Multi-purpose Hall<br>• 📚 Study Rooms | 🕌 Surau | 🌿 Sky Garden<br>• 🧸 Kids Play Area<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-24 10:35,2025-02-24,110098156,,
RM 600 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Partially Furnished,"Playground, Minimart","Cooking Allowed, Near KTM/LRT","Jalan Pju 10/4C, Damansara Damai, Selangor","level 2 no lift<br><br>with deposit 1+1<br><br>with reno kitchen table top<br>wardrobe<br>grills<br>fans<br>lights<br><br>Amenities:<br>========<br>• SMK Sri Damasara 2,<br>SMK Dsara Damai and SK Dsara Damai.<br>• Petrol Station, Mini Market, Mosque, Clinics, McDonald<br>• Komuter Sg Buloh<br>• MRT Station Damansara Damai<br>• 15-mins away from The Curve, IKEA, IPC, Tesco and 1 Utama Shopping Centre<br><br>Access:<br>======<br>• New Klang Valley Expressway (NKVE),<br>• Damansara - Puchong Expressway (LDP)<br>• Middle Ring Road 2 (MRR2)<br><br>mr wong 0192184680",Selangor,Damansara Damai,2025-02-24 10:35,2025-02-24,109947394,3.1934705965950347,101.58494434540214
