monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Lift, Security, Playground, Minimart, Parking",Cooking Allowed,"Jalan PJU 8/9, Bandar Damansara Perdana, Damansara Perdana, Selangor",With security<br><br>With balcony<br><br>Provide 1 parking lot<br><br>AMENITIES:<br>- IKEA The Curve<br>- Lotus Mutiara Damansara<br>- ONE Utama<br>- KPJ Damansara 2<br><br>ACCESSIBILITY:<br>- NKVE Highway<br>- LDP Highway<br>- Sprint Highway<br>- Penchala Link<br><br>mr wong 0192184680,Selangor,Damansara Perdana,2025-02-25 21:52,2025-02-26,109702387,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,1,500 sq.ft.,Partially Furnished,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed","Jalan SS 7/13b, Kelana Jaya, Petaling Jaya, Selangor","Kindly Call/Whats app me for viewing...<br>(( H/P : +6012-298 0064 Dixon Wong ))<br><br>#### Owners are welcome to list ####<br>** Prime Area , Great Location **<br><br>Plaza @ Kelana Jaya<br><br>80% Furnished - Pls PM For Full Video<br>-Build Up : 500 sq feet <br>-2 Bedrooms And 1 Bathrooms<br>-Bed + Mattress<br>-Fridge<br>-Air Cond <br>-Water Heater<br>-Kitchen<br>-Dining Table + Chair<br><br>Must View GOOD / NICE Unit....",Selangor,Petaling Jaya,2025-02-25 21:52,2025-02-26,110229043,3.0973360368916025,101.59810628105063
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1250 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Multipurpose hall, Lift, Parking, Security, Jogging Track",,"Jalan Mutiara 3, Mutiara Height, Kajang, Selangor","Oasis 1 Condominium 3R2B 2CP P/F Mutiara Heights Kajang<br><br>Size : 1250 sq. ft.<br>Floor : Level 10<br>Rooms : 3<br>Bathrooms : 2<br>Car Parks : 2<br>Furnishing : Partially Furnished<br>Rental (Per Month) : 1300<br><br><br>Requirement For Tenant :<br>- 2 Months Security Deposit<br>- 1 Month Advance Rental<br>- Half Month Utilities Deposit<br>- Tenancy Agreement Fees<br><br>Don't Miss Out!! Call Me Today to Book a Viewing!!<br>Dante Leong ( REN 37556 )<br>HP: 0162445851<br><br>Owners are welcome to list with me and my TEAM, will provide you with a professional and a satisfying service. Thank You.",Selangor,Kajang,2025-02-25 21:51,2025-02-26,110134436,,
"RM 3,200 per month","House, For rent",Semi-Detached House,5,5,2800 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",,,"Details:-<br>- Land size: 40’ x 80’<br>- 4+1 Bedrooms | 5 bathrooms<br>-  Renovated with Kitchen cabinet<br>- 24 hours CCTV surveillance<br><br>Facilities:-<br>- Club house facility, <br>- Swimming pool and gymnasium<br>- Children’s playground, multi-purpose hall,<br>- Barbeque area, convenience store, canal garden, jogging paths, sculpture garden<br><br>Accessibility:-<br>- LATAR and the North-South Expressway<br><br>Education:-<br>- SK Taman Desa, <br>- SMK Taman Desa and SBP Integrasi Rawang. <br>- College Asa <br>- Mastura International College.",Selangor,Rawang,2025-02-25 21:50,2025-02-26,110103345,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,1,2,662 sq.ft.,Fully Furnished,"Minimart, Security, Playground, Tennis Court, Lift, Sauna, Parking, Swimming Pool, Gymnasium",,"Emporis, Off Persiaran Surian, Kota Damansara, Selangor","Emporis Duplex 1R2B F/F Kota Damansara<br><br>Size : 662 sq. ft.<br>Floor : Mid Floor<br>Rooms : 1<br>Bathrooms : 2<br>Car Parks : -<br>Furnishing : Fully Furnished<br>Rental (Per Month) : 2000<br><br><br>Requirement For Tenant :<br>- 2 Months Security Deposit<br>- 1 Month Advance Rental<br>- Half Month Utilities Deposit<br>- Tenancy Agreement Fees<br><br>Don't Miss Out!! Call Me Today to Book a Viewing!!<br>Dante Leong ( REN 37556 )<br>HP: 0162445851<br><br>Owners are welcome to list with me and my TEAM, will provide you with a professional and a satisfying service. Thank You.",Selangor,Kota Damansara,2025-02-25 21:50,2025-02-26,110273172,,
"RM 1,000 per month","House, For rent",1-storey Terraced House,4,2,1400 sq.ft.,Not Furnished,"Parking, Playground, Jogging Track, Minimart","Washing Machine, Air-Cond",,Kapar Single Story Terraced House for Rent<br><br>• Deal with Direct Owner<br>• Matured Neighbourhood<br>• 4 Bedroom & 2 Bathroom<br>• Near to WCE Highway<br>• Near to Econsave<br>• Near to Government Hospital<br>• Walking distances to Kapar Town<br>• Renting for RM1200,Selangor,Kapar,2025-02-25 21:47,2025-02-26,105424851,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1700 sq.ft.,Partially Furnished,,,,"[FOR RENT] Double Storey Terrace House Bayu Perdana, Seksyen 11, Kota Damansara<br>===========================================<br>.<br><br>===============<br>RENTAL : RM2300/month<br>===============<br>Details<br>========<br>* Size : 20' x85'<br>* 4 bedrooms <br>* 3 bathrooms<br>* 1 store<br>* Kitchen Cabinet<br>* Airconds in living hall and bedroom <br>* Gated and guarded<br>Deposit required<br>=================<br>1) 2 months security deposit<br>2) 1 month advanced rental<br>3) 0.5 month utilties deposit<br>4) Tenancy agreement + Stamp Duty<br><br>016-3708908<br>Muhammad<br>REN 52158<br>ALAM HARTA",Selangor,Kota Damansara,2025-02-25 21:45,2025-02-26,110273136,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Security, Parking",Cooking Allowed,,"Pangsapuri Subang Suria for Rent, Subang Bestari, Shah Alam<br><br>6th floor <br><br>1000 sqft <br>3-bedroom <br>2-bathroom<br>Kitchen Top<br>Car Park<br>1 Access Card<br>Kitchen top<br>Sofa set<br>2 Queen Bed<br><br>5min - 10min 🚗🛵👜💼<br>➡️Help University<br>➡️Mini market<br>➡️Shopping Mall<br>➡️Restaurant<br><br>Rental Fee Rm1,200<br><br>Interested please whatsapp <br><br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416",Selangor,Subang Bestari,2025-02-25 21:45,2025-02-26,110273143,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,3,1045 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Tennis Court, Jogging Track, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",,"WTL<br><br>RUMAH BARU Pangsapuri Opal, Puchong Intan<br><br>======================<br>RENTAL RM1,600<br>Wasap.my/60189591718<br>======================<br><br>Property Type : Condominium<br><br>Availability : Immediately<br><br>Rooms : 3<br>Bathrooms : 3<br>Size : 1,045 sqft<br>Parking : 2<br>Level : 26<br>Furnish : Partially Furnished<br>All rooms equipped with air conditioner <br>Each bathroom equipped with water heater <br>Fridge provided<br>Built-in wardrobe in each bedroom <br>Kitchen cabinet<br>TV cabinet <br><br><br>Facilities :<br>Gated & Guarded<br>Swimming Pool<br>Lift<br>Gymnasium<br>Playground<br>Mini Market<br><br><br>*Photos* 👇🏼<br>https://t.me/FaizImanPropertyRental/4084<br><br><br>Deposit : <br>1 Month Advance<br>2 Months Security<br>Utility Deposit <br>Tenancy Agreement<br><br>Contact<br>Faiz Iman<br>MAXXAN REALTY<br>6018-959 1718",Selangor,Puchong,2025-02-25 21:45,2025-02-26,110273140,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Gymnasium, Multipurpose hall, Lift",,"Off Jalan Idaman, Taman Cheras Idaman, Bandar Sungai Long, Selangor","Dezire Hill (Bukit Idaman Residensi), Bdr Sungai Long for rent!!<br>900qsft (3R2B)<br>Partial furnished RM1300<br><br>-2aircond (1 in living room, 1 in master room) <br>-dry kitchen cabinet, wet kitchen top<br>-fans, lights<br>-water heater<br><br>With 1carpark<br>Facing greenery<br>Vacant now<br><br>Contact 0169323823 Michelle for viewing",Selangor,Bandar Sungai Long,2025-02-25 21:43,2025-02-26,109672527,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Security, Lift, Parking, Minimart, Jogging Track",,"Seksyen 16, Shah Alam, Selangor",Cantik & Murah Disewa‼️Ken Rimba Shah Alam Condominium Furnished - For Rent<br><br>Partially Furnished <br>Good Condition <br>1200 sqft <br>3 Rooms 2 Bathrooms <br>*Available May 2025* <br><br>Asking Rental RM1600 Only !!!<br><br>For More Info & Viewing Kindly Contact:<br>☎️018-9730334 Yap<br>☎️011-28075312 Yap,Selangor,Shah Alam,2025-02-25 21:42,2025-02-26,110273215,3.0587106,101.4953899
"RM 1,000 per month","Apartment / Condominium, For rent",Service Residence,1,1,559 sq.ft.,Partially Furnished,"Playground, Lift, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed, Washing Machine","Jalan Prima Tropika, Taman Prima Tropika, Seri Kembangan, Selangor","3 Elements Studio @ Seri Kembangan for rent - Partial Furnished - RM1000/month (Best Price!!)<br>===============<br><br>- unit size 559sq.ft. studio unit, newly repainted and great move-in condition.<br>- partially furnished with kitchen cabinet with sink & tap, 2 units of air-conditioners, 1 wardrobe, 1 shoe rack, 1 induction cooker & fridge.<br><br>- 10 minutes (around 800m) walking distance to MRT Putra Permai (PY37) which links to TRX Exchange.<br><br>Accessibility:-<br>==========<br>- easily access to MEX Highway linking to KLCity Centre , Cyberjaya and Putrajaya in 5 minutes<br>- links to LDP Highway in 10 minutes which links to PJ , Subang & Old Klang Road<br><br>Aminities:-<br>========<br>- Giant Hypermarket a stone throw away.<br>-5 minutes drives to AEON SERI KEMBANGAN.<br><br><br>View to appreciate, call Goh 019-2885361 REN 25919 IQI REALTY SDN BHD .",Selangor,Seri Kembangan,2025-02-25 21:41,2025-02-26,109902044,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Parking, Playground, Security, Lift",,"Persiaran Setia Makmur, Seksyen U13, Setia Alam, Selangor","WTL <br>De Bayu Apartment @ Setia Alam <br>Partially furnished unit <br><br>900 sqft <br>3 bedrooms 2 bathrooms <br>2 covered parking lot <br>24 hours security <br>Furnished items: <br>1. Kitchen cabinet with hood & hob <br>2. 1 unit aircond in master room <br>3. 2 units shower heater <br>4. TV cabinet <br>5. Sofa <br>6. Fans, lighting & grille<br><br>Available now <br><br>RM1200",Selangor,Setia Alam,2025-02-25 21:30,2025-02-26,110273133,3.1343061517810127,101.47590465794737
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1126 sq.ft.,Partially Furnished,"Parking, Playground, Multipurpose hall, Swimming Pool, Security, Jogging Track, Lift, Gymnasium",Cooking Allowed,"PJ South, Petaling Jaya, Selangor","1120 Park Avenue for rent.<br>3 rooms/2 baths well kept clean unit. <br>Fan/lighting/ grill and kitchen cabinet.<br>24 hrs security with cctv, swimming pool, multi purpose hall, playground and convenient shop. <br>Available now. <br>Rent Rm 1400",Selangor,Petaling Jaya,2025-02-25 21:30,2025-02-26,110273071,3.0808589,101.6272104
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,692 sq.ft.,Not Furnished,,,,"[Ground Floor] Las Palmas Blok Rumbia, Bandar Country Homes, Rawang<br><br>Property Details:<br>==============<br> GROUND FLOOR <br>- Built Up 692sf<br>- 3 Bedroom<br>- 2 Bathroom<br>- Basic unit <br>- Gated Guarded<br>- Well-kept condition<br><br>Rental RM900<br><br>Deposit :-<br>========<br>- 2 months Security Deposit<br>- 1 month Advanced Payment<br>- Half month Utilities Deposit<br>- Tenancy Agreement<br><br>Please Call For Arrange Appointment Viewing<br>Tony Wong 012-3391362<br>Tony Wong 012-3391362",Selangor,Rawang,2025-02-25 21:30,2025-02-26,109443214,,
"RM 1,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,842 sq.ft.,Partially Furnished,"Playground, Gymnasium, Multipurpose hall, Minimart, Swimming Pool, Parking, Security",Cooking Allowed,"Jalan PPAJ 5, Pusat Perdagangan Alam Jaya, Puncak Alam, Selangor","Tingkat Atas<br>3 Bilik tidur<br>2 Bilik mandi<br>Kitchen Cabinet<br>Full grill<br>Kipas siling<br>Langsir<br>Car park – Covered, Ground floor<br>Size 842 sq.ft<br><br>Sewa RM 1,000<br>Deposit 2+1+Utilities<br>Call/Whatsapp 012-464-7338",Selangor,Puncak Alam,2025-02-25 21:28,2025-02-26,110246253,3.238953188028939,101.44780297706075
"RM 1,150 per month","Apartment / Condominium, For rent",Apartment,3,2,868 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Playground, Security","Cooking Allowed, Near KTM/LRT","Jalan BK 3/7, Bandar Kinrara, Puchong, Selangor","level 1 no lift<br><br>with kitchen cabinet<br>hood<br>curtains<br>grills<br>fans<br>lights<br><br>ACCESSIBILITY:-<br>- Lebuhraya Damansara-Puchong (LDP)<br>- Shah Alam Expressway (KESAS)<br>- Bukit Jalil Highway (BJH)<br>- South Klang Valley Expressway (SKVE)<br>- North-South Central Link Expressway (ELITE)<br>- Jalan Puchong<br><br>AMENITIES NEARBY:-<br>- Aeon Big, TESCO, Giant, Aeon Jusco<br>- IOI Mall, IOI Boulevard, Setia Walk, Sunway Pyramid, Empire Shopping Gallery, Subang Parade<br>- International schools, primary & secondary schools, Chinese & Tamil schools, colleges, universities<br>- Hospitals, clinics, banks, retail shops, cafes, restaurants<br>- Immigration & National Registration branch offices<br><br>mr wong 0192184680",Selangor,Puchong,2025-02-25 21:25,2025-02-26,109964626,3.05065034501605,101.63770325071584
RM 700 per month,"Apartment / Condominium, For rent",Apartment,3,2,870 sq.ft.,Not Furnished,"Parking, Security",Cooking Allowed,"Jalan Pluto U5/138, Shah Alam, Selangor","Available 15 feb onwards<br><br>Level 4 no lift ( top floor )<br><br>✔ 5 min to Star Avenue Lifestyle Mall<br>✔ 13 min to Mydin Bukit Jelutong<br>✔ Close to Econsave Kampung Baru Subang<br>✔ Near to HELP University, HELP International School & SMK Subang Bestari<br>✔ Easily accessible via Jalan Sungai Buloh & Damansara–Shah Alam Elevated Expressway (DASH)<br><br>mr wong 0192184680",Selangor,Shah Alam,2025-02-25 21:25,2025-02-26,109743672,3.1646295507467905,101.53908157392098
"RM 1,150 per month","Apartment / Condominium, For rent",Condominium,3,3,1025 sq.ft.,Partially Furnished,"Swimming Pool, Security, Playground, Parking, Lift","Cooking Allowed, Air-Cond","Persiaran Tropicana Heights 1B, Bandar Teknologi Kajang, Kajang, Selangor",looking malay tenant only#<br><br>3 room 3 bathroom unit<br><br>provide 2 parking lot<br><br>with 3 airconds<br>3 water heaters<br>3 wardrobe<br>kitchen cabinet<br>tv cabinet<br>fans<br>lights<br><br>Fasiliti & Kemudahan<br>- 2 Car Park<br>- Tempat letak kereta berbumbung<br>- Taman Permainan Kanak-kanak<br>- Rumah Kelab<br>- Bilik gimnasium<br>- Trek joging<br>- Dewan serbaguna<br>- Keselamatan 24 jam<br>- Kolam renang<br>- Badminton Court<br>.<br>Lokasi terdekat :<br>- 3.6km/ 7min ke Mydin Hypermarket Semenyih<br>- 3.8km/ 10min ke Billion Shopping Centre Semenyih<br>- 7.9km/14mins ke UKM<br>- 10.9km/17mins ke University KL Malaysia France Institute<br>- 10.8km/17mins ke Kolej Poly-Tech Mara Bangi (KPTM)<br>- 4.7km/7mins ke Jalan Reko dan Bangi<br>- 3.7km/6min access ke highway<br><br>mr wong 0192184680,Selangor,Kajang,2025-02-25 21:25,2025-02-26,110246367,,
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,970 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Lift, Gymnasium","Cooking Allowed, Air-Cond","Jalan Seri Putra 2/3, Bandar Seri Putra, Bangi, Selangor",With lift<br><br>With 4 Airconds<br>2 Water Heaters<br>Kitchen Cabinet<br>Stove<br>Hood<br>Grills<br>Fans<br>Lights<br><br>Facilities :-<br>- 24 hours security<br>- Swimming Pool<br>- Wading Pool<br>- Playground<br>- Jogging Track<br>- Gymnasium Room<br><br>Amenities :-<br>- Tesco<br>- Pasaraya CS<br>- Family Mart<br>- Balai Polis<br>- Restaurants<br>- Bangi Wonderland<br>- Masjid Bandar Seri Putra<br>- Sekolah Rendah Bandar Seri Putra<br>- Sekolah Menengah Bandar Seri Putra<br><br>Accessibilities :-<br>- KTM Bangi<br>- PLUS Highway<br>- North-South Expressway Central Link (ELITE)<br>- Kajang-Seremban Highway (LEKAS)<br><br>mr wong 0192184680,Selangor,Bangi,2025-02-25 21:25,2025-02-26,110246365,2.882400129224027,101.78651557839409
RM 450 per month,"Apartment / Condominium, For rent",Apartment,3,2,712 sq.ft.,Not Furnished,Playground,Cooking Allowed,,"Available end dec or 1 jan onwards<br><br>Level 5 no lift (top floor)<br><br>NEARBY AMENITIES<br>* Surau<br>* Primary and Secondary School<br>* Colleges and Universities<br>* Kajang Sentral Park<br>* Restaurants, shops, offices, banks<br>* 3 mins drive to Kajang Town, Hospital, Metro Point Business Center<br><br>ACCESSIBILITY<br>* Komuter Kajang and MRT Kajang<br>* SILK Highway<br>* LEKAS Highway<br>* Grand-Saga Highway<br>* PLUS Highway<br><br>mr wong 0192184680",Selangor,Kajang,2025-02-25 21:25,2025-02-26,110032457,,
RM 600 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Not Furnished,,Cooking Allowed,,"𝐑𝐔𝐌𝐀𝐇 𝐔𝐍𝐓𝐔𝐊 𝐃𝐈𝐒𝐄𝐖𝐀<br>Pangsapuri Teratai Bukit Subang, Denai Alam<br><br>Rental RM 600<br><br>Property details :<br>- Level 4<br>- 3 Bedroom + 1 Bathroom + 1 Toilet<br><br>Apartment Facilities <br>- Playground<br>- Shoplot nearby<br><br>AMENITIES :<br>- Elmina Central Park<br>- SK Bukit Subang & SMK Subang / Subang Bestari / Saujana Utama<br>- Airport Subang<br><br>ACCESSIBILITIES<br>-  DASH Highway<br>- Federal Highway<br>- Guthrie Highway<br>- Kota Damansara / Ara Damansara<br><br>Interested please whatsapp me:<br><br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416",Selangor,Bukit Subang,2025-02-25 21:25,2025-02-26,110273104,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Security, Playground, Swimming Pool, Parking",,"Jalan Wawasan 4/2, Puchong, Selangor","D'Palma walk up apartment for rent<br><br>- 3rd floor (walk up)<br>- 850sf<br>- 3 rooms and 2 bathrooms<br>- Partly furnished comes with kitchen cabinet, fridge, washing machine, dining set, air conditioner and water heater.<br>- Available 15th of March<br>- Gated and guarded<br><br>Please contact Terence (016-4228366) for viewing",Selangor,Puchong,2025-02-25 21:25,2025-02-26,110273021,3.0357909021948606,101.62606309764239
"RM 4,000 per month","House, For rent",Semi-Detached House,5,5,2880 sq.ft.,Fully Furnished,,,,"CONTACT ME AT: 60176494779<br>Mohd Zakri<br>REN 42394<br>FIRDAUS & ASSOCIATES REAL ESTATE AGENCY SB<br><br>✅ FOR SALE / RENT ✅<br><br>Fully Furnished 2 Storey Semi D Setia Eco Templer Peranakan Straits Rawang<br><br>=====================<br>Rental PRICE : RM4,000,000<br>=====================<br><br>Highlight<br>=======<br>-Furnish: Fully (Aircond,kitchen cabinet,fridge,sofa,mattress,curtain)<br><br>PROPERTY DETAILS :<br>-2 Storey Semi-D - Emeria<br>-Leasehold Bumi Lot<br>-BUILT UP : 2,797<br>-LAND AREA 36x80 (2,880)<br>-Bedrooms: 4+1<br>-Bathrooms: 5<br>-Carpark: 4<br><br>Facilities:<br>- Club House<br>- First Tier 24hr Security<br>- Gymnasium<br>- Jogging Track<br>- Playground<br>- Swimming Pool<br><br>Accessibility:<br>- 10 min to Selayang<br>- 10 min to Tesco Rawang<br>- 15 min to Batu Caves<br>- 20 min to Kepong<br><br>10KM Nearby<br>Gombak, Batu Caves, Ulu Klang, Ampang Jaya, Kuala Lumpur, Petaling Jaya, Sungai Buloh, Kuang, Rawang, Serendah, Rawang",Selangor,Rawang,2025-02-25 21:25,2025-02-26,110273016,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,818 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Security, Lift, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Sunsuria 1, Bandar Sunsuria, Sepang, Selangor","Partial furnished unit:<br>- AC in master bedroom<br>- two-door fridge<br>- Full height wardrobe in master bedroom<br>- Full height kitchen cabinet with hood<br>- Enclosed dry kitchen with frosted glass and ventilation fan<br>- Bath towel rack, water bidet and shampoo rack in both bathrooms<br>- Curtain railing in all room<br>- Door grill<br>- 2 covered car park <br>- High floor unit<br><br>Rental RM 1,200<br>Call/Whatsapp: 012-4647338",Selangor,Sepang,2025-02-25 21:24,2025-02-26,110020729,,
"RM 1,250 per month","Apartment / Condominium, For rent",Service Residence,1,1,650 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Jogging Track, Lift, Playground, Sauna","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine","Jalan PBS 14/2, Taman Bukit Serdang, Seri Kembangan, Selangor","650 sqft<br>-Studio Unit<br>-1 Bed Room<br>-1 Bathroom<br>-Fully Furnished Unit<br>-2 Air Cond<br>-1 Carpark<br>-RENTAL RM 1250 only(included maintenance fees) <br><br><br>*** This property is arguably one of the best in its range a MUST view ***<br><br>Appreciate to view with appointment!<br><br>For personalized presentation, please contact me. It would be my pleasure to serve you.<br><br><br>Don't Miss Out!! Call Me Today to Book a Viewing!!<br>PINKY LOW 014-6200686",Selangor,Seri Kembangan,2025-02-25 21:24,2025-02-26,102909598,3.0439877873683443,101.69490344851917
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,3,1743 sq.ft.,Fully Furnished,"Parking, Security","Cooking Allowed, Air-Cond",,"2 Storey Graham Garden Eco Grandreur, Puncak Alam for Rent<br><br>DETAILS:<br>- Built Up 1743 sqft<br>- Land area 20' x 65'<br>- 4 Bedroom<br>- 3 Bathrooms<br>- Fully Furnished<br><br>Rental : RM2,200 <br><br>Facilities and Amenities:<br>- Segi Fresh Mart<br>- Nearby KFC, Domino Pizza, Secret Recepi, McD, Petrol Station, Clinic, Playground<br>- Hospital & UiTM Puncak Alam<br>- UOB & Bank Muamalat<br><br>Accessibility:<br>- Jalan Meru Tambahan <br>- Persiaran Mokhtar Dahari <br>- Jalan Sg.Buloh-Kuala Selangor <br>- KL- Kuala S'gor<br><br>Interested please contact or whatsapp<br><br>Fuad Nasir 01304040416<br>Fuad Nasir 01304040416<br>Fuad Nasir 01304040416",Selangor,Puncak Alam,2025-02-25 21:23,2025-02-26,110063402,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,821 sq.ft.,Not Furnished,"Parking, Security, Playground",,"Jalan Taman Perdana, Pandan Perdana, Ampang, Selangor","Give me a chance, ready serve you find a right unit<br>Available Call/Whatsapp @ Nicole 012-782 6626<br><br>Pandan Terrace Apartment<br>Lower Flor Walk Up Apartment<br>3 Bedroom 2 Bathroom<br>821 sqft approx<br>Open Parking<br>Gated & Guraded<br><br>Nearby<br>- Next to 1 Shemlin Mall, Lulu Hypermarket<br>- KPTM, UniKL, LRT Pandan Jaya (1KM-1.5KM)<br>- AEON Maluri, PGRM and Taman Pudu Ulu<br>- BESRAYA Highway and MRR2<br><br>Requirement For Tenant :<br>- 2 Months Security Deposit<br>- 1 Month Advance Rental<br>- Half Month Utilities Deposit<br>- Tenancy Agreement Fees<br><br><br>Looking forward to meeting you.<br>012-7826626 Nicole<br>Please call me Now, we will serve you better and get a DONE DEAL for you!",Selangor,Ampang,2025-02-25 21:23,2025-02-26,110273088,3.1219463894418293,101.74544953795123
"RM 1,350 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,Parking,,,"Double Storey landed House in Hillpark 3 Eugenia Kajang Semenyih for rent......<br><br>* 2 Storey<br>* Intermediate lot<br>* 1400sqft Approximately<br>* 4 bedroom,3 bathroom <br>* Newly Furbished and painted<br>* Basic unit<br>* Rental RM 1,350/ mths<br>(Including security fees)<br><br>Terms of Deposit:<br>2+1<br><br>* Preferred Malay or Chinese Family*<br><br>Move in available <br><br>Only serious tenant will be entertained <br><br>Kindly call or WhatsApp to mr Chin<br>@ CHINs Properties™ *016-975 6328<br>www.wasap.my/60169756328<br>(REN 07413)<br>For viewing arrangements",Selangor,Kajang,2025-02-25 21:23,2025-02-26,109395183,,
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,"Security, Parking",Cooking Allowed,,"2 Storey in Elimina Valley 1, Denai Alam, Elmina, Shah Alam untuk disewa<br><br>Sewa Bulanan : RM2,200<br><br>Available April 2025<br><br>DETAILS:<br>* 4 bedroom & 3 toilet<br>* ⁠fan & lighting<br><br>NEARBY AMENITIES :<br>- Bank Islam, Affin bank<br>- Sekolah rendah Agama<br>- Surau<br>- Mini Market<br>- Nearby Kindergarten, Sekolah Kebangsaan Taman Bukit Subang<br>- Clinics<br>- Restaurants<br>- Petrol stations<br>- starbucks, McD, KFC, Pizza Hut and more 1km Sahaja <br><br>ACCESSIBILITY :<br>* Guthrie Highway<br>* DASH Highway <br><br>Rental: RM2,200/Month <br><br>Interested please whatsapp<br><br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416",Selangor,Denai Alam,2025-02-25 21:23,2025-02-26,110246589,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1250 sq.ft.,Partially Furnished,"Playground, Sauna, Security, Jogging Track, Parking, Barbeque area, Swimming Pool, Gymnasium, Lift, Multipurpose hall",Air-Cond,"Jalan SPM 8, Taman Sri Putra Mas, Sungai Buloh, Selangor","Super Spacious in Sungai Buloh, Fully New Condominium For Rent<br>Type : 2 +1 Bedrooms<br>No of Bathrooms : 2<br>Car Park : 1<br>Level : High Floor<br>Rental : RM 1500 only<br>Details of the unit : Partially Furnished Include Kitchen Cabinet, Hood and Hob, Water Heater, air-conditioned<br>Available : Now",Selangor,Sungai Buloh,2025-02-25 21:16,2025-02-26,109189945,,
