monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 4,500 per month","House, For rent",3.5-storey Terraced House,4,6,3601 sq.ft.,Partially Furnished,,,,"WTL: Crystal Serin Villa , Cyberjaya<br><br>AVAILABILITY : immediate<br><br>4 storeys terrace villa <br>corner lot <br>32’ x 80’<br>BU: 3,601 sqft <br>4+1 bedroom <br>6 bathroom <br>Partly furnished <br>ready to view<br><br>#C.Amy",Selangor,Cyberjaya,2025-04-16 03:05,2025-04-16,110853466,,
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,1080 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Off JB East Coast Pkwy, Taman Sierra Perdana, Masai, Johor","Monthly Rental Rm 1900 !!!<br>Monthly Rental Rm 1900 !!!<br>Monthly Rental Rm 1900 !!!<br><br>Meridin Bayvue <br>3Bed 2Bath<br>Fully Furnished <br>Rm 1900<br><br>!! ALL RACE ARE WELCOME !!<br><br>!! COZY & CLEAN UNIT !!<br><br>!! BELOW MARKET UNIT !!<br><br>!! GOOD CONDITION UNIT !!<br><br>Below Market / Good Condition / Actual Photo 🔥<br><br>!! LOW BOOKING FEE TO RESERVE UNIT !!<br><br>!! FIRST COME FIRST SERVE !!<br><br>#Prohome@Mac_Realty🎊🎊<br><br>!! Can Arrange Viewing !!<br><br>I’m Han ,<br>Please Call  / WhatsApp Me For More Information <br>Han 010-2020612<br>Han 010-2020612<br>Han 010-2020612",Johor,Masai,2025-04-16 02:47,2025-04-16,110853451,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,830 sq.ft.,Partially Furnished,"Security, Swimming Pool, Parking, Playground",,"No.4, Jalan Setia Gemilang U13/45C, Seksyen U13, Setia Alam, Selangor","Seri Intan, Setia Alam <br>Apartment <br><br>830 sqft <br>3 Rooms 2 Bathrooms <br>2 Car Parks <br>Partially Furnished - 1 Aircon, 1 Water Heater<br>Kitchen Cabinet & Table Top <br>Good Condition <br>24 Hours Security <br>Available Now <br><br>Asking Rental RM1200 Only !! <br><br>Amanda 01119301980",Selangor,Setia Alam,2025-04-16 03:30,2025-04-16,110853498,3.131853597195424,101.47140998572945
"RM 2,900 per month","Apartment / Condominium, For rent",Condominium,3,3,1080 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Danga Perdana, Country Garden Danga Bay, Johor Bahru, Johor","Monthly Rental Rm 2900 !!!<br>Monthly Rental Rm 2900 !!!<br>Monthly Rental Rm 2900 !!!<br><br>Country Garden Danga Bay<br>3Bed 3Bath<br>Fully Furnished <br>Rm 2900<br><br>!! SEAVIEW UNIT !!<br><br>!! ALL RACE ARE WELCOME !!<br><br>!! COZY & CLEAN UNIT !!<br><br>!! BELOW MARKET UNIT !!<br><br>!! GOOD CONDITION UNIT !!<br><br>Below Market / Good Condition / Actual Photo 🔥<br><br>!! LOW BOOKING FEE TO RESERVE UNIT !!<br><br>!! FIRST COME FIRST SERVE !!<br><br>#Prohome@Mac_Realty🎊🎊<br><br>!! Can Arrange Viewing !!<br><br>I’m Han ,<br>Please Call  / WhatsApp Me For More Information <br>Han 010-2020612<br>Han 010-2020612<br>Han 010-2020612",Johor,Johor Bahru,2025-04-16 02:47,2025-04-16,110853452,1.4676996579290054,103.7249724411857
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,2,1,500 sq.ft.,Not Furnished,"Parking, Security, Playground, Lift, Swimming Pool, Minimart, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Multipurpose hall, Barbeque area",,"Jalan Forest City 5, Forest City, Gelang Patah, Johor","Regalia Forest City 2 Bed Room 1 Bathroom Empty Unit (Near Tuas)<br><br>FOREST CITY ( GELANG PATAH )<br>-NEAR TUAS 10 MIN<br>-1 MEDIUM ROOM<br>-1 SMALL ROOM<br>-1 BATHROOM<br>-LEVEL 8<br><br>-SHUTTLE BUS<br><br><br>SURROUNDING : KEDAI RUNCIT / HAWKER CENTRE AND HAVE MAY SHOP<br><br>-ACCESS CARD & DIGITAL LOCK SYSTEM<br>-WHOLE BUILDING CCTV PROVIDED<br>-DIRECT OWNER , NO NEED AGENT FEE<br>-LOW DEPOSIT",Johor,Gelang Patah,2025-04-16 03:34,2025-04-16,110357815,,
"RM 2,350 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Not Furnished,,"Near KTM/LRT, Cooking Allowed",,"WTL<br>R104<br><br>Double Storey Terraced House <br>Pandan Indah (Maju Jaya), Kuala Lumpur<br>=============<br>Rental Price: RM 2,350/mo<br><br><br>2,000sq.ft<br>5 rooms / 3 baths<br>New fans / lights<br>3 aircons<br>Quiet area<br>Easy access to MRR2 / Lrt Pandan indah/ Cempaka<br>Large balcony<br><br> AMENITIES :<br>LRT Pandan Indah<br>Pantai Hospital Ampang<br>Hospital Ampang<br><br>Accesibility :<br>MRR2<br>SUNGAI BESI EXPRESSWAY<br><br><br><br>REN 27522<br>Mohd Azizy Zainal & Mawaddah Aminuddin<br>011-1020 8112<br>https://tinyurl.com/bdhwv4xt<br><br>PropGuru Link<br>https://tinyurl.com/2wfzsetm<br><br>Please subscribe for more best deals<br>WhatApps Channel :<br>https://tinyurl.com/3rcvz7v4<br><br>Instagram : Dream Propertyz<br>http://tinyurl.com/mv7pu4mk<br><br>Telegram Channel :<br>https://tinyurl.com/5cka7444<br><br>Tik Tok: baldbrother<br>https://tinyurl.com/mvax3pwp<br><br>PropMall Internal CoA<br>https://propmall.my/azizyproperty<br><br>Linktree<br>https://linktr.ee/baldbrother",Kuala Lumpur,Pandan Indah,2025-04-16 03:50,2025-04-16,110853527,,
"RM 3,500 per month","House, For rent",2-storey Terraced House,4,3,1767 sq.ft.,Fully Furnished,,,,"Taman Suria 2-Storey Terrace FOR RENT:<br><br>- Penampang, Kepayan area<br>- Intermediate lot<br>- 4 Bedrooms 3 Bathrooms <br>- 1,767sqft<br>- Fully furnished<br>- Well maintained condition<br>- Fully aircond, comes with CCTV, alarm system, water filter, water pump<br><br><br>= RENTAL asking RM3,500 = <br><br><br>Please call or whatsapp for more info,<br>016-8195996 / https://wa.me/60168195996<br>LEROS LAU (REN 31279)<br>Propnex Realty Sdn. Bhd.",Sabah,Penampang,2025-04-16 03:23,2025-04-16,110853506,,
RM 900 per month,"Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Not Furnished,"Playground, Swimming Pool, Lift, Parking, Minimart, Security, Gymnasium",,"Jalan Klebang Sentosa 2, Ipoh, Perak","Available for Viewing Now & Agreement  can Start on 1/6/2025<br>Move In Condition Klebang  Casa Residence Condo For Rent<br> Rental Only RM900 <br>Asking Price (Sale):RM209k<br>Gated & Guarded<br> Block G mid Floor<br> 3 Bedrooms<br> 2 Bathroom  <br> 850 sqft<br>Facing Field(Playground)<br>With Lift<br>Dry & Wet Kitchen <br>Fan, Light, Dry Kitchen Cabinet,Wet Kitchen Provided<br>Facilities <br>Swimming Pool, Gym Room, Cover Car Park, Playground<br>Rental Deposit<br>T&C Apply<br>1 Month Adv<br>2 Month Deposit<br>Half Month Utilities <br>Tenancy Agreement Fees<br>-Any Race Welcome <br>If Interested please call or WhatsApp<br><br> Vivien Lim 014-2729781<br><br>www.wasap.my/60142729781/casa3rdmay<br>Appointment for viewing<br>Thank you<br>REN 43762<br>  For More Property   <br><br>https://www.facebook.com/102976334633938/posts/156766905921547/<br>#OwnerWelcomeToList #casa #residence #idaman #sky #garden #klebang #tasek #chemor #condo #apartment #flat #rent #sewa #murah <br>ForRent #rumahsubsale<br>#ipohvivien #condo #ipoh #perak #propertyagent #AgentHartanah #loan  #mortgage #2ndhandhouse #fyp #secondhandhouse #rumahbaru #newproject #TopSubsale #TopProject<br>#lawyer #subsale #untuk #dijual #untuk #disewa #utk #pengkalan #precint18 #doublestorey #rumahduatingkat #untukdijual #untukdisewa #recruitment #job #untukdijual #untukdisewa #Vivien <br>SekaliCubaNakLagi #tiktokguru<br><br>IQI Realty (Ipoh) Sdn Bhd E1(1)584/14",Perak,Ipoh,2025-04-16 03:25,2025-04-16,110853492,4.68863615,101.13360045
"RM 1,499 per month","House, For rent",2-storey Terraced House,3,3,1665 sq.ft.,Partially Furnished,"Parking, Security, Playground",Cooking Allowed,,"--------------Robin @ Rimbayu---------------<br>3 Bedroom 3 Bathroom Unit for Rent<br>Brand New Basic Furnished Rm 1499 !!<br>Available by Now !!<br><br>Property details:-<br>- 2-Storey Terraced House<br>- 18x65<br>- 3 Bedroom<br>- 3 Bathroom<br>- Light & Fan<br>- 3x Water Heater<br><br>Facilities:<br>- Gate & Guarded<br>- Basketball Court<br>- Playground<br>- Close to Lotus, Mcd, Starbuck, CoffeeBean, Brew House, restaurant, cafeteria, grocery, pharmarcy, clinic & etc<br><br>Nearby to :<br>- Tenby International School<br>- Oasis International School<br>- Mahsa University<br>- SJKC Bukit Fraser<br>- Quayside Mall<br>- Sanctuary Mall<br><br>=================<br>CALL/WHATSAPP<br>JH Goh<br>016-2727537<br>=================",Selangor,Telok Panglima Garang,2025-04-16 03:05,2025-04-16,110853479,,
"RM 1,800 per month","House, For rent",Semi-Detached House,3,2,3700 sq.ft.,Not Furnished,,,,"Hillside Tanjung Bungah | Single Storey Semi-Detached House for Rent | Land Area 3,700 sqft<br><br>Well-maintained home. <br><br>✅ 3 Bedrooms<br>✅ 2 Bathrooms<br>(Note: Master and second bedroom share a bathroom)<br>✅ Huge land space<br><br>Highlights:<br>Perfect for families with young children — the spacious outdoor area is ideal for playtime, installing a portable swimming pool, or even a small slide.<br>Also suitable for gardening (mini plant/organic vegetables) or pet lovers.<br><br>Ideal for outdoor activities or gardening<br><br><br>For more info/viewing:<br>Contact Ms. Tio<br>Call: 012-5526764<br>WhatsApp: 0125526764",Penang,Tanjung Bungah,2025-04-16 02:08,2025-04-16,110853410,,
"RM 1,350 per month","Apartment / Condominium, For rent",Service Residence,2,2,900 sq.ft.,Partially Furnished,"Playground, Security, Swimming Pool, Gymnasium, Parking, Minimart, Club house, Lift, Multipurpose hall, Jogging Track, Sauna, Barbeque area",,"Jalan Usahawan 2, Off Jalan Genting Kelang, Setapak, Kuala Lumpur","Platinum Lake PV 21 For Rent<br>[Jalan Usahawan, Off Jalan Genting Kelang, 53200 Kuala Lumpur]<br>----------------------------------------------<br><br>- 2 rooms 2 bathroom unit<br>- Basic Partial Furnished<br>- Lights & fans<br>- Water heaters<br><br>• No. of Car Park : 2<br>• Fridge, Washing Machine & Water Heaters provided<br><br>Facilities:-<br>- Swimming pool<br>- Gymnasium<br>- Playground<br>- Mini market<br><br>Amenties:-<br>- Setapak Central Mall,<br>- Aeon Big Danau Kota,<br>- Columbia Asia Hospital<br>- LRT Wangsa Maju<br>- SJKC Wangsa Maju<br>- Banks & Shops",Kuala Lumpur,Setapak,2025-04-16 02:05,2025-04-16,110853396,,
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,2,2,990 sq.ft.,Fully Furnished,"Parking, Security, Lift, Barbeque area, Minimart, Swimming Pool, Gymnasium, Multipurpose hall, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan Mersawa 16, Taman Cahaya, Masai, Johor",For Rent <br><br>Green Haven Service Apartment <br>Location: Taman Cahaya Kota Puteti<br>Bedrooms: 2<br>Bathrooms: 2<br>Carpark: 1<br>Build up Area: 990 sq.ft. <br>Fully Furnished <br>High Floor <br>Rental: RM 2200<br>No Co-broke <br><br>016-730 3086 Ms Alicia Shum<br>PEA 1770,Johor,Masai,2025-04-16 02:25,2025-04-16,110853415,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,2,1,628 sq.ft.,Not Furnished,"Lift, Barbeque area, Gymnasium, Sauna, Security, Swimming Pool, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan USJ 19/4, USJ 19, Off Persiaran Kewajipan, Subang Jaya, Selangor","2 bedrooms and 1 bathroom<br>Kitchen cabinet, water heater, air conditioners and fans<br>Parking on rental basis<br>Newly painted<br>Good condition and well maintained<br><br>Facilities<br>Swimming pool, BBQ Pit, Playground, gym, Sauna<br>CCTV, 24 hrs security<br>5 mins walk to wawasan LRT station and sekolah wawasan<br>Ground floor is the USJ 19 City Mall<br><br>Accessible to<br>LDP, Kesas, Federal Highway, NKNV, NPE<br><br>Please set appointment at 0166380257 for viewing",Selangor,Subang Jaya,2025-04-16 02:11,2025-04-16,110322317,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1025 sq.ft.,Fully Furnished,"Lift, Barbeque area, Multipurpose hall, Playground, Parking, Swimming Pool, Gymnasium, Security","Cooking Allowed, Washing Machine, Air-Cond, Near KTM/LRT","Jalan 1/12d, Kampung Sri Batu, Jalan Ipoh, Kuala Lumpur",Zeta Deskye Residence Alam Saujana For Rent🎉🎉🎉<br><br><br>-Nice City View with Balcony <br>-1040 Sqft<br>-95% Partly Furnished<br>-Nice City View<br>-️3 Bedroom<br>-2 Bathroom<br>-1 Carpark<br>-Sofa<br>-Bedframe & Mattress<br>-Table Top<br>-Aircond unit<br>-Kitchen Cabinets<br>-Water Heater<br>-Wardrobe<br>-Fan<br>-Washing Machines<br>-Dinning Table set<br><br>Ronn<br>0182886781<br>REN30998,Kuala Lumpur,Jalan Ipoh,2025-04-16 02:34,2025-04-16,108089599,,
"RM 2,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1309 sq.ft.,Fully Furnished,"Playground, Sauna, Security, Swimming Pool, Parking, Gymnasium, Tennis Court, Barbeque area, Jogging Track, Lift, Club house",,"Jalan Fauna 1, Cyberjaya, Selangor",AVAILABILITY : immediate<br><br>Details:-<br>1309 sq ft <br>3rooms<br>2 bathroom<br>2 car parks<br><br>Facilities:<br>24-hours security | Lap pool | Wading pool | Family pool | Jacuzzi | Sauna Room | Roof Sky Garden Deck | Futsal | Field-Basketball | Court | Gymnasium | 2 Badminton Court | Children playground | Table Tennis Room | <br><br>#C.Syam,Selangor,Cyberjaya,2025-04-16 02:30,2025-04-16,110853425,2.9201144994247072,101.64562391440896
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,1,593 sq.ft.,Fully Furnished,"Lift, Security, Jogging Track, Parking, Barbeque area, Gymnasium, Minimart, Playground, Swimming Pool, Multipurpose hall",,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor",For Rent - R795<br><br>For Sale /For Rent<br><br>📍Central Park Country Garden Tampoi<br><br>2+1Bedroom 1bathroom<br>593sqft<br>Fully Furnished<br>Mid floor Phase 1<br>1carpark lot<br>Freehold <br><br>CM<br><br>Rental Price 🤩RM 1900🤩<br><br>Selling Price RM RM 370k<br><br>==================================<br>更多最新屋子详情欢迎浏览以下网页<br>⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬<br>https://facebook.com/PuyolPropertyJB<br><br>☎️ Please Contact me ☎️<br>make appointment for more info & viewing <br>Puyol Chin (REN 72687)<br>📞 Tel *0107714134*<br>📲 Whatsapp: wa.me/60107714134,Johor,Tampoi,2025-04-16 02:03,2025-04-16,110853406,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor","Monthly Rental Rm 1900 !!!<br>Monthly Rental Rm 1900 !!!<br>Monthly Rental Rm 1900 !!!<br><br>Country Garden Danga Bay<br>2Bed 2Bath<br>Partial Furnished<br>Rm 1900<br><br>!! ALL RACE ARE WELCOME !!<br><br>!! SEAVIEW UNIT !!<br><br>!! HAVE SHUTTLE BUS TRANSPORT TO CIQ !!<br><br>!! COZY & CLEAN UNIT !!<br><br>!! BELOW MARKET UNIT !!<br><br>!! GOOD CONDITION UNIT !!<br><br>Below Market / Good Condition / Actual Photo 🔥<br><br>!! LOW BOOKING FEE TO RESERVE UNIT !!<br><br>!! FIRST COME FIRST SERVE !!<br><br>#Prohome@Mac_Realty🎊🎊<br><br>!! Can Arrange Viewing !!<br><br>I’m Han ,<br>Please Call  / WhatsApp Me For More Information <br>Han 010-2020612<br>Han 010-2020612<br>Han 010-2020612",Johor,Johor Bahru,2025-04-16 02:17,2025-04-16,110829217,1.4700007450908685,103.7247952202663
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1317 sq.ft.,Fully Furnished,"Minimart, Tennis Court, Jogging Track, Sauna, Parking, Playground, Swimming Pool, Gymnasium, Barbeque area, Security","Washing Machine, Cooking Allowed, Air-Cond","Persiaran Medini Utara 3, Off Lebuh Kota Iskandar, Iskandar Puteri, Johor",1 medini apartment<br><br>1314sqf<br>3 bedroom<br>2 toilet<br>Gasoline cooker<br>Master bedroom king size bed<br>Other room queen bed<br>High floor corner unblock view<br>Balcony<br>4 aircon<br>5 ceiling fan<br>2 heater<br>Main door with grill door<br>Can park 2 car<br><br>Rental 2400 nego<br>2200 nett now<br><br>What's app only<br>Thomas Tay<br>Wasap.my/60133414301,Johor,Iskandar Puteri,2025-04-16 02:09,2025-04-16,110363119,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,3,3,1356 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Lift, Gymnasium","Washing Machine, Cooking Allowed, Air-Cond","Jalan Medini Utara 1, Iskandar Puteri, Johor",D pristine apartment<br><br>Dual key type<br>3 bedroom<br>3 toilet<br>2 tv<br>2 kitchen<br>2 washing machine<br>2 fridge<br>2 balcony <br>Full furnished<br>Cw bus to sg<br><br>Rental 2800 nego<br>2500 nett new house<br><br>What's app only<br>Thomas Tay<br>Wasap.my/60133414301,Johor,Iskandar Puteri,2025-04-16 02:09,2025-04-16,110528105,1.4305143484431648,103.63011171381208
RM 800 per month,"Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Partially Furnished,"Playground, Lift, Parking, Security, Minimart",Cooking Allowed,"Lorong Bukit Kukus, Paya Terubong, Ayer Itam, Penang","On this unit offer,<br><br>Asking for rental: RM 800 nett<br><br>** 3 Beds 2 Baths layout<br>** Total Built Up of 900sf<br>** Just newly done renovated <br>** 1 Car Park<br>** Well Maintained<br><br>Feel free to Call/Whatsapp John Kang 010-4313391 for more info & viewing arrangement thank you!",Penang,Ayer Itam,2025-04-16 02:24,2025-04-16,110040470,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,700 sq.ft.,Fully Furnished,"Swimming Pool, Tennis Court, Squash Court, Jogging Track, Security, Gymnasium, Parking, Playground, Sauna, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Batu Uban, Kampung Batu Uban, Gelugor, Penang","On this unit offer,<br><br>Asking for rental: RM 1400 per month nett<br><br>** 3 Beds 2 Baths layout<br>** Total Built Up of 700sf<br>** Fully Renovated<br>** 1 Car Park<br>** Well Maintained<br><br>Feel free to Call/Whatspp John Kang 010-4313391 for more info & viewing arrangement thank you!",Penang,Gelugor,2025-04-16 02:24,2025-04-16,109719895,,
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,4,2,1092 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Swimming Pool, Gymnasium, Playground, Security, Barbeque area, Lift, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Jalan Setia Tropika 1/19, Setia Tropika, Johor Bahru, Johor","FOR RENT <br><br>Type: Sky Garden Apartment<br>Location: Setia Tropika <br>Bedrooms: 3+1<br>Bathrooms: 2<br>Build up Area: 1,092 sq.ft. <br>Furnitures: Fully Furnished <br>Floor: Low Floor<br>Rental price: RM1900 <br>- Owner already replaced New Mattress <br><br><br>016-730 3086 Ms Alicia Shum<br>PEA 1770",Johor,Johor Bahru,2025-04-16 02:04,2025-04-16,110268171,1.54596145,103.7183802
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,2,2,1214 sq.ft.,Fully Furnished,"Gymnasium, Lift, Club house, Security, Minimart, Playground, Parking, Swimming Pool","Cooking Allowed, Washing Machine, Air-Cond","Persiaran Dato' Seri Amar, Kota Iskandar, Iskandar Puteri, Johor",encorp marina apartment <br>1214sqf<br>2 bedroom <br>2 toilet<br>electrical cooker <br>washing machine with dryer <br>3 aircon <br>3 ceiling fan <br>2 heater <br>main door with metal grill<br>level 10 pool view<br>1 parking lot <br>second car can park at indoor parking also<br><br>rental 2400 nego<br>2200 nett<br><br>what's app only<br>Thomas Tay<br>wasap.my/60133414301,Johor,Iskandar Puteri,2025-04-16 02:09,2025-04-16,110255250,,
"RM 1,499 per month","House, For rent",2-storey Terraced House,3,3,1665 sq.ft.,Partially Furnished,"Parking, Security, Playground",Cooking Allowed,,"--------------Robin @ Rimbayu---------------<br>3 Bedroom 3 Bathroom Unit for Rent<br>Brand New Basic Furnished Rm 1499 !!<br>Available by April !!<br><br>Property details:-<br>- 2-Storey Terraced House<br>- 18x65<br>- 3 Bedroom<br>- 3 Bathroom<br>- Light & Fan<br>- 3x Water Heater<br><br>Facilities:<br>- 24 Hours Security<br>- Basketball Court<br>- Playground<br>- Close to Lotus, Mcd, Starbuck, CoffeeBean, Brew House, restaurant, cafeteria, grocery, pharmarcy, clinic & etc<br><br>Nearby to :<br>- Tenby International School<br>- Oasis International School<br>- Mahsa University<br>- SJKC Bukit Fraser<br>- Quayside Mall<br>- Sanctuary Mall<br><br>=================<br>CALL/WHATSAPP<br>JH Goh<br>016-2727537<br>=================",Selangor,Telok Panglima Garang,2025-04-16 02:26,2025-04-16,110853433,,
"RM 2,600 per month","House, For rent",Townhouse,3,3,1800 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Barbeque area, Club house, Jogging Track","Washing Machine, Cooking Allowed, Air-Cond",,"leisure farm <br>bayou water facing lake<br><br>Townhouse<br>3 bedroom <br>3 toilet <br>Aircon<br>fan<br>balcony facing lake view<br>can fishing every day<br>the house 20 year already <br>fashion a bit old,but very relax environment,<br>20 meter away to swimming pool <br>first time renting only<br>previous owner own stay only<br>very good security and very very near to second link<br>can park 2 car<br><br>rental 2600 nett now<br><br>what's app only<br>Thomas Tay<br><br>wasap.my/60133414301",Johor,Gelang Patah,2025-04-16 02:09,2025-04-16,109983975,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,1,1,500 sq.ft.,Fully Furnished,"Minimart, Barbeque area, Security, Gymnasium, Playground, Swimming Pool, Multipurpose hall, Parking, Sauna",,"Jalan Storey, Bukit Senyum, Johor Bahru, Johor",For Rent<br><br>📍Town Apartment SKS Pavilion Aparment 🔥 <br><br>🌟Studio <br>🌟1 bathroom<br>🌟Block A Middle floor<br>🌟No balcony<br>🌟City view<br>🌟One parking lot <br>🌟2 access card <br>🌟Fully furnished （New mattresses and beds)<br>🌟Normal kitchen Area<br><br>Rental 🤩Rm1900🤩 nett only <br><br>==================================<br>更多最新屋子详情欢迎浏览以下网页<br>⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬<br>https://facebook.com/PuyolPropertyJB<br><br>☎️ Please Contact me ☎️<br>make appointment for more info & viewing <br>Puyol Chin (REN 72687)<br>📞 Tel *0107714134*<br>📲 Whatsapp: wa.me/60107714134,Johor,Johor Bahru,2025-04-16 02:05,2025-04-16,110853392,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1250 sq.ft.,Fully Furnished,"Parking, Gymnasium, Barbeque area, Security, Playground, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bukit Gemuruh, Kampung Tengah, Bayan Lepas, Penang","On this unit offer,<br><br>Asking for rental: RM 1500 per month nett<br><br>** 3 Beds 2 Baths layout<br>** Total Built Up of 1250sf<br>** Fully Furnished & Renovated<br>** 2 Car Parks<br>** Worth Rent<br><br>Feel free to Call/Whatsapp John Kang 010-4313391 for more info & viewing arrangement thank you!",Penang,Bayan Lepas,2025-04-16 02:04,2025-04-16,109479283,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Security, Swimming Pool, Gymnasium, Barbeque area, Lift, Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed","Tingkat Kelicap, Off Persiaran Kelicap, Bayan Lepas, Penang","On this unit offer,<br><br>Asking for rental: RM 1600 per month nett<br><br>** 3 Beds 2 Baths layout<br>** Total Built Up of 1000sf<br>** Renovated & Partially Furnished<br>** 2 Car Parks<br>** Well Maintained<br>** Worth Rent<br><br>Feel free to Call/Whatsapp John Kang 010-4313391 for more info & viewing arrangement thank you!",Penang,Bayan Lepas,2025-04-16 02:04,2025-04-16,110699027,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,3,2,825 sq.ft.,Partially Furnished,"Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",,"2sty Terraced BANDAR PUCHONG JAYA<br>EASY ACCESS TO HIGHWAY SKIP TRAFFIC JAM.<br>Near LDP, KESAS, IOI MALL PUCHONG, MRT STATION <br><br>PROPERTY DETAILS:<br>*****************************<br>* 15 x 55<br>* 825 sq ft<br>* 3 Bedrooms<br>* 2 Bathroom<br><br>PLEASE CALL / WHATSAPP <br>RONN 0182886781<br>REN30998",Selangor,Puchong,2025-04-16 02:34,2025-04-16,110204900,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Seri Alam, Bandar Seri Alam, Masai, Johor","Monthly Rental Rm 1200 !!!<br>Monthly Rental Rm 1200 !!!<br>Monthly Rental Rm 1200 !!!<br><br>Amansari Residence<br>Studio 1Bath<br>Fully Furnished <br>Rm 1200<br><br>!! ALL RACE ARE WELCOME !!<br><br>!! COZY & CLEAN UNIT !!<br><br>!! NEAR TO PASIR GUDANG !!<br><br>!! BELOW MARKET UNIT !!<br><br>!! GOOD CONDITION UNIT !!<br><br>Below Market / Good Condition / Actual Photo 🔥<br><br>!! LOW BOOKING FEE TO RESERVE UNIT !!<br><br>!! FIRST COME FIRST SERVE !!<br><br>#Prohome@Mac_Realty🎊🎊<br><br>!! Can Arrange Viewing !!<br><br>I’m Han ,<br>Please Call  / WhatsApp Me For More Information <br>Han 010-2020612<br>Han 010-2020612<br>Han 010-2020612",Johor,Masai,2025-04-16 02:18,2025-04-16,110765005,1.5081047307445021,103.86412447438086
